Student ID,Username,First Name,Last Name,Email
ID001,user001,First1,Last1,user001@example.com
ID002,user002,First2,Last2,user002@example.com
ID003,user003,First3,Last3,user003@example.com
ID004,user004,First4,Last4,user004@example.com
ID005,user005,First5,Last5,user005@example.com
ID006,user006,First6,Last6,user006@example.com
ID007,user007,First7,Last7,user007@example.com
ID008,user008,First8,Last8,user008@example.com
ID009,user009,First9,Last9,user009@example.com
ID010,user010,First10,Last10,user010@example.com
ID011,user011,First11,Last11,user011@example.com
ID012,user012,First12,Last12,user012@example.com
ID013,user013,First13,Last13,user013@example.com
ID014,user014,First14,Last14,user014@example.com
ID015,user015,First15,Last15,user015@example.com
ID016,user016,First16,Last16,user016@example.com
ID017,user017,First17,Last17,user017@example.com
ID018,user018,First18,Last18,user018@example.com
ID019,user019,First19,Last19,user019@example.com
ID020,user020,First20,Last20,user020@example.com
